folio,S2_2,S2_3,S2_5,S2_6,S2_7,S3_1,S3_2,S3_3,S3_8,S1_9
45614,1,1,2,1,3,3,3,1,4,2
45638,1,2,3,3,2,3,1,1,3,1
45646,2,2,3,3,1,3,1,1,4,1
45652,2,1,1,2,2,3,1,1,1,1
45672,1,4,3,3,2,3,1,1,1,1
45912,2,4,3,3,3,3,1,1,4,1
45915,2,2,3,3,3,3,1,1,4,1
45932,1,3,3,3,3,3,1,2,4,1
45933,1,3,3,2,3,1,3,1,4,1
45955,1,3,3,1,3,3,1,2,2,1
45953,1,3,3,3,3,3,3,1,4,1
45954,1,2,2,2,3,3,1,1,3,1
45979,1,3,3,3,3,3,3,1,1,1
45985,1,2,3,3,3,3,1,1,2,1
46062,1,2,1,1,1,3,1,2,4,2
46067,1,1,3,3,1,3,3,1,4,2
46073,1,2,2,3,1,3,3,4,1,2
46104,1,2,3,3,1,1,1,1,1,1
46114,1,3,3,3,3,1,1,2,2,2
46126,1,2,2,3,1,3,1,2,4,2
46131,1,1,2,3,3,1,3,3,4,2
46142,1,3,3,3,3,1,1,2,3,1
46156,1,3,3,2,2,3,1,1,4,1
46197,1,3,3,3,1,3,1,1,4,1
46204,1,4,3,3,3,3,3,1,1,1
46211,1,3,3,3,3,3,2,1,4,1
46224,1,4,3,2,1,3,3,1,2,1
46225,1,2,2,3,3,2,1,1,4,1
46226,1,1,2,3,1,3,1,1,3,1
46246,1,2,1,2,2,3,1,1,4,1
46262,1,3,3,3,1,3,2,1,4,1
46276,1,4,3,3,3,1,1,1,2,1
46275,1,4,3,3,3,1,3,1,3,1
46290,1,2,3,2,2,3,3,2,4,1
46297,2,1,3,3,3,3,3,1,4,1
46301,1,3,3,3,3,3,1,4,4,1
46398,1,4,3,2,3,1,1,1,4,1
46499,1,3,3,2,2,3,1,1,2,1
46501,1,3,3,2,2,3,2,1,4,1
46513,1,1,2,3,1,3,3,2,3,1
46536,1,2,3,3,3,3,1,1,2,1
46541,1,1,3,3,3,3,1,1,1,1
46568,1,3,3,1,1,3,1,3,2,1
46655,2,1,2,3,3,1,1,1,4,1
46688,1,1,2,2,2,3,1,1,4,1
46695,1,3,3,2,2,3,1,1,2,2
46702,1,3,3,2,1,3,1,1,4,1
46728,1,2,3,3,3,3,3,1,4,1
46786,2,3,3,3,1,3,1,1,2,1
46813,1,2,3,3,3,3,1,1,1,1
46812,1,4,3,3,3,3,1,2,4,1
46814,1,1,2,3,3,3,1,1,4,1
46837,1,1,3,2,2,3,1,1,3,2
46835,1,3,3,3,3,3,3,1,4,1
46852,1,4,3,3,3,3,1,1,1,1
46858,1,1,2,3,2,3,3,2,1,2
46902,1,1,2,1,1,3,2,1,3,1
46906,1,4,3,3,3,3,1,1,4,1
46911,1,3,3,2,2,3,1,1,1,1
46928,1,3,3,3,1,3,2,1,4,1
46934,2,2,3,3,2,3,3,1,1,1
46935,1,3,3,1,1,3,1,1,3,1
46952,1,3,3,3,3,3,1,2,4,1
46957,2,1,2,1,1,3,1,1,2,1
46963,1,3,3,1,1,3,1,1,2,1
46971,2,3,3,3,1,1,2,1,4,1
46976,1,1,2,1,3,3,3,1,2,2
