Encargado,Frec_insultosCasa,ViolenciaCasa,ExistenciaMaltratoPareja,ExistenciaDemaltratoSuegra,MotivoDeJuntarse,EdadJunte,EnojoDePareja,malltrato
padres,MuchasVeces,Maltrato,si,noSabe,amor,menorA25,ProbAlcoholicos,si
padres,pocasVeces,NoOcurrio,noSabe,no,amor,menorA25,ProbEconomicos,no
parientes,pocasVeces,NoOcurrio,noSabe,si,amor,menorA25,ProbAlcoholicos,no
parientes,MuchasVeces,Amenzar,no,no,amor,menorA25,ProbSentimentales,no
padres,Norecuerda,NoOcurrio,noSabe,no,amor,menorA25,ProbSentimentales,no
parientes,Norecuerda,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
parientes,pocasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,entre25a35,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,no,noSabe,embarazo,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,si,noSabe,amor,entre25a35,ProbSocializacion,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,pocasVeces,Maltrato,no,noSabe,amor,menorA25,ProbEconomicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSocializacion,no
padres,pocasVeces,Amenzar,si,si,amor,entre25a35,ProbAlcoholicos,si
padres,MuchasVeces,NoOcurrio,noSabe,si,amor,menorA25,ProbAlcoholicos,si
padres,pocasVeces,Maltrato,noSabe,si,amor,mayores60,ProbSentimentales,si
padres,pocasVeces,NoOcurrio,noSabe,si,embarazo,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,embarazo,entre25a35,ProbSocializacion,si
padres,pocasVeces,Maltrato,noSabe,si,amor,entre25a35,ProbAlcoholicos,si
padres,MuchasVeces,Maltrato,noSabe,noSabe,embarazo,entre35y60,ProbAlcoholicos,si
padres,NoPaso,NoOcurrio,noSabe,noSabe,embarazo,entre25a35,ProbEconomicos,no
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,si,amor,menorA25,ProbAlcoholicos,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,Norecuerda,NoOcurrio,no,si,amor,menorA25,ProbSocializacion,no
padres,pocasVeces,Maltrato,noSabe,noSabe,presion,menorA25,ProbAlcoholicos,no
padres,MuchasVeces,Maltrato,noSabe,si,amor,menorA25,ProbEconomicos,no
padres,pocasVeces,Amenzar,no,no,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,si,amor,menorA25,ProbAlcoholicos,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,embarazo,menorA25,ProbSocializacion,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,embarazo,menorA25,ProbEconomicos,no
padres,pocasVeces,NoOcurrio,no,no,amor,entre25a35,ProbAlcoholicos,no
parientes,MuchasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,mayores60,ProbAlcoholicos,no
padres,Norecuerda,NoOcurrio,no,noSabe,embarazo,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbSocializacion,no
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbAlcoholicos,no
padres,MuchasVeces,Maltrato,noSabe,si,amor,entre25a35,ProbEconomicos,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSocializacion,no
padres,MuchasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,si,si,amor,entre35y60,ProbSocializacion,no
parientes,MuchasVeces,Maltrato,noSabe,noSabe,embarazo,menorA25,ProbAlcoholicos,no
padres,MuchasVeces,Maltrato,no,no,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbSocializacion,si
padres,NoPaso,NoOcurrio,no,si,amor,menorA25,ProbAlcoholicos,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
parientes,NoPaso,NoOcurrio,noSabe,si,amor,menorA25,ProbSocializacion,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,amor,entre25a35,ProbAlcoholicos,no
padres,MuchasVeces,Maltrato,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,MuchasVeces,NoOcurrio,no,no,amor,menorA25,ProbEconomicos,si
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,MuchasVeces,Maltrato,noSabe,no,amor,entre25a35,ProbSentimentales,si
padres,MuchasVeces,Maltrato,si,si,amor,menorA25,ProbEconomicos,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,si,amor,menorA25,ProbAlcoholicos,no
parientes,pocasVeces,NoOcurrio,noSabe,no,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,si,si,amor,menorA25,ProbEconomicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,entre25a35,ProbAlcoholicos,no
parientes,MuchasVeces,Maltrato,si,si,amor,menorA25,ProbSocializacion,no
padres,NoPaso,NoOcurrio,si,si,amor,menorA25,ProbSocializacion,no
parientes,NoPaso,NoOcurrio,noSabe,si,embarazo,menorA25,ProbAlcoholicos,no
padres,MuchasVeces,Maltrato,si,noSabe,amor,menorA25,ProbSocializacion,si
padres,NoPaso,NoOcurrio,no,no,embarazo,menorA25,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,si,si,amor,menorA25,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSocializacion,no
padres,pocasVeces,NoOcurrio,no,no,embarazo,menorA25,ProbAlcoholicos,no
parientes,Norecuerda,Maltrato,noSabe,noSabe,embarazo,menorA25,ProbSocializacion,no
parientes,pocasVeces,Maltrato,noSabe,no,amor,entre25a35,ProbSocializacion,no
padres,NoPaso,NoOcurrio,no,si,amor,entre25a35,ProbAlcoholicos,si
parientes,pocasVeces,Maltrato,si,si,embarazo,menorA25,ProbSentimentales,si
padres,MuchasVeces,NoOcurrio,noSabe,si,amor,menorA25,ProbSocializacion,si
parientes,NoPaso,NoOcurrio,noSabe,si,embarazo,menorA25,ProbSentimentales,si
padres,pocasVeces,NoOcurrio,noSabe,si,amor,menorA25,ProbSentimentales,no
padres,pocasVeces,Maltrato,noSabe,no,embarazo,menorA25,ProbSentimentales,no
padres,pocasVeces,Maltrato,noSabe,noSabe,presion,menorA25,ProbSocializacion,si
parientes,Norecuerda,NoOcurrio,noSabe,si,amor,entre25a35,ProbAlcoholicos,no
parientes,NoPaso,NoOcurrio,noSabe,no,amor,entre25a35,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,si,si,amor,entre25a35,ProbSentimentales,si
padres,NoPaso,NoOcurrio,no,no,amor,mayores60,ProbSentimentales,no
parientes,NoPaso,NoOcurrio,no,noSabe,amor,menorA25,ProbEconomicos,no
padres,Norecuerda,Maltrato,noSabe,noSabe,amor,menorA25,ProbSocializacion,no
padres,pocasVeces,Maltrato,noSabe,noSabe,amor,menorA25,ProbSocializacion,si
padres,NoPaso,NoOcurrio,si,no,amor,menorA25,ProbAlcoholicos,no
parientes,NoPaso,NoOcurrio,si,si,amor,menorA25,ProbSentimentales,si
padres,NoPaso,NoOcurrio,noSabe,no,amor,entre25a35,ProbAlcoholicos,si
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbEconomicos,no
padres,NoPaso,Maltrato,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
parientes,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSocializacion,no
padres,MuchasVeces,Maltrato,noSabe,no,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,no,noSabe,amor,entre25a35,ProbEconomicos,no
padres,MuchasVeces,Maltrato,noSabe,noSabe,amor,entre25a35,ProbSocializacion,no
parientes,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbSocializacion,no
padres,NoPaso,NoOcurrio,noSabe,si,amor,menorA25,ProbEconomicos,no
padres,NoPaso,Maltrato,noSabe,si,amor,entre25a35,ProbAlcoholicos,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,entre25a35,ProbAlcoholicos,si
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbSentimentales,no
padres,pocasVeces,Maltrato,noSabe,si,amor,menorA25,ProbSocializacion,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,entre25a35,ProbSentimentales,no
padres,NoPaso,NoOcurrio,no,no,amor,entre25a35,ProbSentimentales,no
parientes,NoPaso,NoOcurrio,no,no,amor,entre35y60,ProbAlcoholicos,no
padres,NoPaso,Maltrato,noSabe,noSabe,amor,mayores60,ProbSocializacion,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,amor,entre25a35,ProbAlcoholicos,no
parientes,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,embarazo,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,embarazo,entre25a35,ProbSentimentales,no
